date,weekday,lecture_week,university_closed,no_lecture_building_open,flex_day,getting_started,careers_week,public_holiday,event_name
2017-09-01,Friday,False,False,False,False,False,False,False,
2017-09-02,Saturday,False,False,False,False,False,False,False,
2017-09-03,Sunday,False,False,False,False,False,False,False,
2017-09-04,Monday,False,False,False,False,True,False,False,Getting Started
2017-09-05,Tuesday,False,False,False,False,True,False,False,Getting Started
2017-09-06,Wednesday,False,False,False,False,True,False,False,Getting Started
2017-09-07,Thursday,False,False,False,False,False,False,False,
2017-09-08,Friday,False,False,False,False,False,False,False,
2017-09-09,Saturday,False,False,False,False,False,False,False,
2017-09-10,Sunday,False,False,False,False,False,False,False,
2017-09-11,Monday,False,False,False,False,False,False,False,
2017-09-12,Tuesday,False,False,False,False,False,False,False,
2017-09-13,Wednesday,False,False,False,False,False,False,False,
2017-09-14,Thursday,False,False,False,False,False,False,False,
2017-09-15,Friday,False,False,False,False,False,False,False,
2017-09-16,Saturday,False,False,False,False,False,False,False,
2017-09-17,Sunday,False,False,False,False,False,False,False,
2017-09-18,Monday,False,False,False,False,False,False,False,
2017-09-19,Tuesday,False,False,False,False,False,False,False,
2017-09-20,Wednesday,False,False,False,False,False,False,False,
2017-09-21,Thursday,False,False,False,False,False,False,False,
2017-09-22,Friday,False,False,False,False,False,False,False,
2017-09-23,Saturday,False,False,False,False,False,False,False,
2017-09-24,Sunday,False,False,False,False,False,False,False,
2017-09-25,Monday,False,False,False,False,False,False,False,
2017-09-26,Tuesday,False,False,False,False,False,False,False,
2017-09-27,Wednesday,False,False,False,False,False,False,False,
2017-09-28,Thursday,False,False,False,False,False,False,False,
2017-09-29,Friday,False,False,False,False,False,False,False,
2017-09-30,Saturday,False,False,False,False,False,False,False,
2017-10-01,Sunday,False,False,False,False,False,False,False,
2017-10-02,Monday,False,False,False,False,False,True,False,Careers Week
2017-10-03,Tuesday,False,False,False,False,False,True,False,Careers Week
2017-10-04,Wednesday,False,False,False,False,False,True,False,Careers Week
2017-10-05,Thursday,False,False,False,False,False,True,False,Careers Week
