date,year,month,iso_week,day_of_week,day_of_week_num,hour,is_weekend,season_num,season,is_holiday,is_exam_period,total_checkins,unique_visitors,visitors_affil_rug,visitors_affil_hanze,visitors_affil_other,visitors_staff_rug,visitors_m,visitors_other,visitors_v,ACLO Card 2021-2022,Fitness 1st semester Card 18-19,Fitness 1st semester Card 19-20,Fitness 2nd semester Card 18-19,Fitness 2nd semester Card 19-20,Fitness Card 2017-2018,Fitness Card 2018-2019,Fitness Card 2019-2020,Fitness Card 2020-2021,Fitness Card 2021/2022,Fitness Free Card 2017-2018,Fitness Midseason Card 2017-2018,Fitness free Card 2018-2019,Fitness free Card 2019-2020,SPR sportcard Incasso,other,aclo_card_2021_2022_share,fitness_1st_semester_card_18_19_share,fitness_1st_semester_card_19_20_share,fitness_2nd_semester_card_18_19_share,fitness_2nd_semester_card_19_20_share,fitness_card_2017_2018_share,fitness_card_2018_2019_share,fitness_card_2019_2020_share,fitness_card_2020_2021_share,fitness_card_2021_2022_share,fitness_free_card_2017_2018_share,fitness_midseason_card_2017_2018_share,fitness_free_card_2018_2019_share,fitness_free_card_2019_2020_share,spr_sportcard_incasso_share,other_share
2017-08-01,2017,8,31,Tuesday,1,0,0,2,Summer,0,0,180,137,90,26,21,25,105,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-02,2017,8,31,Wednesday,2,0,0,2,Summer,0,0,146,117,74,27,16,17,96,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-03,2017,8,31,Thursday,3,0,0,2,Summer,0,0,155,118,78,25,15,21,89,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-04,2017,8,31,Friday,4,0,0,2,Summer,0,0,164,128,85,29,14,34,104,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-05,2017,8,31,Saturday,5,0,1,2,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-06,2017,8,31,Sunday,6,0,1,2,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-07,2017,8,32,Monday,0,0,0,2,Summer,0,0,192,162,100,39,23,27,125,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-08,2017,8,32,Tuesday,1,0,0,2,Summer,0,0,150,119,72,26,21,23,91,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-09,2017,8,32,Wednesday,2,0,0,2,Summer,0,0,162,128,86,28,14,29,100,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-08-10,2017,8,32,Thursday,3,0,0,2,Summer,0,0,154,127,78,33,16,26,101,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
